Rating,Title,Body,place_of_review
5.0,"5.0 out of 5 stars
Clear sound & compatible",Quality is so Good. It 's appearance is likely advance And  all types of people 's favourite,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Very bad build quality",Waste of money cheap copy of the itemNever go for it after seeing some how reviews,Reviewed in India on 6 August 2024
5.0,"5.0 out of 5 stars
Sound quality is awesome at this price range","I am using this headphone for last 1 year till now its sound quality is not down by 1% .I am a true gamer so I say it will be 50% good for playing games but 90% good for listening to music and bass and treble ratio is perfect .First timeIf you are satisfied with buying a product online, you can definitely buy it",Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
DO NOT BUY WORST EXPERIENCE WITH AMAZON M",Please note you will risk it for buying this or any electronic product particularly JBL cos if it’s a faulty piece then you will keep taking rounds of calls and visits to the store you will not get any help and you will be left with returning back with a faulty pieces.,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Bhut hi bekar","Bekar awaj , bass to h hi nhiGym m use kro bhar k speaker ki awaj jyada aati hai use less",Reviewed in India on 5 August 2024
5.0,"5.0 out of 5 stars
Best headphones for unbiased listening.","Great build quality, foldability, button features. Has truly got a 40hr battery backup, once you fully charge can work for a week. Dual pairing is one of its reckoning features. Good for calls, noise cancellation is excellent. The cloth near the ear piece is also of good quality. Using it for one year but the product is as new as bought recently. The size is on the ear and not over the ear. So it fits just on the ear. Outstanding performance.",Reviewed in India on 5 August 2024
1.0,"1.0 out of 5 stars
Sound quality is good on wired mode but really bad on wireless mode.","Just after unboxing, I tested the headphone. On wireless mode, I didn't find the sound quality to be as great as I expected it to be. The noice cancellation was also not exceptional. The main problem was that when I plugged in the audio cable, I found out that the right earcup of the headphone was not working at all. It was because of loose-connection (inside headphones) somewhere I guess. I decided to give it some time before I tested it once again. This time, the wireless mode sound quality dropped significantly (On sharp beats, it started producing cracking sounds). This time on wired mode, both the earcups worked fine and the sound quality was really good. After 2-3 days of usage, cracking sound is still there on wireless mode. Overall I am not satisfied with these headphones. I would recommend not investing such an amount in JBL headphones but rather to go for budget earphones. I don't think JBL puts their best efforts in this price range. If you really want high quality, go for a high-price flagship model.",Reviewed in India on 4 August 2024
5.0,"5.0 out of 5 stars
Extra Super",Full paisa vasool,Reviewed in India on 4 August 2024
1.0,"1.0 out of 5 stars
Ghh",Impressive but they are spammer,Reviewed in India on 3 August 2024
1.0,"1.0 out of 5 stars
Worst product","I bought two of them last year , one stopped working in 4 months and next one in 9 months , and no reply from support team .",Reviewed in India on 3 August 2024
5.0,"5.0 out of 5 stars
Clear sound & compatible",Quality is so Good. It 's appearance is likely advance And  all types of people 's favourite,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Very bad build quality",Waste of money cheap copy of the itemNever go for it after seeing some how reviews,Reviewed in India on 6 August 2024
5.0,"5.0 out of 5 stars
Sound quality is awesome at this price range","I am using this headphone for last 1 year till now its sound quality is not down by 1% .I am a true gamer so I say it will be 50% good for playing games but 90% good for listening to music and bass and treble ratio is perfect .First timeIf you are satisfied with buying a product online, you can definitely buy it",Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
DO NOT BUY WORST EXPERIENCE WITH AMAZON M",Please note you will risk it for buying this or any electronic product particularly JBL cos if it’s a faulty piece then you will keep taking rounds of calls and visits to the store you will not get any help and you will be left with returning back with a faulty pieces.,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Bhut hi bekar","Bekar awaj , bass to h hi nhiGym m use kro bhar k speaker ki awaj jyada aati hai use less",Reviewed in India on 5 August 2024
5.0,"5.0 out of 5 stars
Best headphones for unbiased listening.","Great build quality, foldability, button features. Has truly got a 40hr battery backup, once you fully charge can work for a week. Dual pairing is one of its reckoning features. Good for calls, noise cancellation is excellent. The cloth near the ear piece is also of good quality. Using it for one year but the product is as new as bought recently. The size is on the ear and not over the ear. So it fits just on the ear. Outstanding performance.",Reviewed in India on 5 August 2024
1.0,"1.0 out of 5 stars
Sound quality is good on wired mode but really bad on wireless mode.","Just after unboxing, I tested the headphone. On wireless mode, I didn't find the sound quality to be as great as I expected it to be. The noice cancellation was also not exceptional. The main problem was that when I plugged in the audio cable, I found out that the right earcup of the headphone was not working at all. It was because of loose-connection (inside headphones) somewhere I guess. I decided to give it some time before I tested it once again. This time, the wireless mode sound quality dropped significantly (On sharp beats, it started producing cracking sounds). This time on wired mode, both the earcups worked fine and the sound quality was really good. After 2-3 days of usage, cracking sound is still there on wireless mode. Overall I am not satisfied with these headphones. I would recommend not investing such an amount in JBL headphones but rather to go for budget earphones. I don't think JBL puts their best efforts in this price range. If you really want high quality, go for a high-price flagship model.",Reviewed in India on 4 August 2024
5.0,"5.0 out of 5 stars
Extra Super",Full paisa vasool,Reviewed in India on 4 August 2024
1.0,"1.0 out of 5 stars
Ghh",Impressive but they are spammer,Reviewed in India on 3 August 2024
1.0,"1.0 out of 5 stars
Worst product","I bought two of them last year , one stopped working in 4 months and next one in 9 months , and no reply from support team .",Reviewed in India on 3 August 2024
5.0,"5.0 out of 5 stars
Clear sound & compatible",Quality is so Good. It 's appearance is likely advance And  all types of people 's favourite,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Very bad build quality",Waste of money cheap copy of the itemNever go for it after seeing some how reviews,Reviewed in India on 6 August 2024
5.0,"5.0 out of 5 stars
Sound quality is awesome at this price range","I am using this headphone for last 1 year till now its sound quality is not down by 1% .I am a true gamer so I say it will be 50% good for playing games but 90% good for listening to music and bass and treble ratio is perfect .First timeIf you are satisfied with buying a product online, you can definitely buy it",Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
DO NOT BUY WORST EXPERIENCE WITH AMAZON M",Please note you will risk it for buying this or any electronic product particularly JBL cos if it’s a faulty piece then you will keep taking rounds of calls and visits to the store you will not get any help and you will be left with returning back with a faulty pieces.,Reviewed in India on 6 August 2024
1.0,"1.0 out of 5 stars
Bhut hi bekar","Bekar awaj , bass to h hi nhiGym m use kro bhar k speaker ki awaj jyada aati hai use less",Reviewed in India on 5 August 2024
5.0,"5.0 out of 5 stars
Best headphones for unbiased listening.","Great build quality, foldability, button features. Has truly got a 40hr battery backup, once you fully charge can work for a week. Dual pairing is one of its reckoning features. Good for calls, noise cancellation is excellent. The cloth near the ear piece is also of good quality. Using it for one year but the product is as new as bought recently. The size is on the ear and not over the ear. So it fits just on the ear. Outstanding performance.",Reviewed in India on 5 August 2024
